Date,Total_Trips,Total_Population,Per_Capita_Trips,Log_Total_Trips,Log_Population,Time_Index,Trips_YoY_Growth,Population_YoY_Growth,Month,Quarter
2022-06-01,40386264.0,14608488.0,2764.575225033556,17.514000285118275,16.49711328761159,71,17.286317972205833,1.1874302922382007,6,2
2022-07-01,35678755.0,14608488.0,2442.3304451494228,17.390065971569534,16.49711328761159,72,221.5460976928623,1.1874302922382007,7,3
2022-08-01,39726817.0,14608488.0,2719.433866119478,17.497537008799817,16.49711328761159,73,337.193175410277,1.1874302922382007,8,3
2022-09-01,39300121.0,14608488.0,2690.2250937947856,17.486738155715155,16.49711328761159,74,296.9818662676254,1.1874302922382007,9,3
2022-10-01,42085042.0,14608488.0,2880.862276780458,17.555202938607593,16.49711328761159,75,116.75257531519993,1.1874302922382007,10,4
2022-11-01,40484935.0,14608488.0,2771.329585922924,17.51644048756815,16.49711328761159,76,37.35434046689288,1.1874302922382007,11,4
2022-12-01,42734291.0,14608488.0,2925.3055483907715,17.57051222382804,16.49711328761159,77,52.51833596326394,1.1874302922382007,12,4
2023-01-01,40964219.0,14808064.0,2766.345350749429,17.528209536320777,16.510682455214244,78,98.73451269989415,1.3661646571500041,1,1
2023-02-01,46814658.0,14808064.0,3161.430015429431,17.661706916977593,16.510682455214244,79,70.10993764334223,1.3661646571500041,2,1
2023-03-01,53708668.0,14808064.0,3626.987835817025,17.799084961723068,16.510682455214244,80,55.52739268437874,1.3661646571500041,3,1
2023-04-01,43575407.0,14808064.0,2942.6808933294724,17.590003489544753,16.510682455214244,81,26.15310898429588,1.3661646571500041,4,2
2023-05-01,52074274.0,14808064.0,3516.615946554526,17.7681816035835,16.510682455214244,82,30.736001857820263,1.3661646571500041,5,2
2023-06-01,49893293.0,14808064.0,3369.3326149859968,17.725397142870438,16.510682455214244,83,23.540253686253322,1.3661646571500041,6,2
2023-07-01,48968013.0,14808064.0,3306.8477418790194,17.706677846992505,16.510682455214244,84,37.2469779284619,1.3661646571500041,7,3
2023-08-01,54565883.0,14808064.0,3684.8762268990736,17.814919391932982,16.510682455214244,85,37.3527685341617,1.3661646571500041,8,3
2023-09-01,52017302.0,14808064.0,3512.7685833880782,17.767086951972324,16.510682455214244,86,32.35913955582988,1.3661646571500041,9,3
2023-10-01,53645206.0,14808064.0,3622.702197937556,17.797902666105262,16.510682455214244,87,27.46858135486714,1.3661646571500041,10,4
2023-11-01,53919493.0,14808064.0,3641.2250109129727,17.80300262170513,16.510682455214244,88,33.18409181094153,1.3661646571500041,11,4
2023-12-01,48810669.0,14808064.0,3296.2221800229927,17.703459473977144,16.510682455214244,89,14.218974640295311,1.3661646571500041,12,4
2024-01-01,47723394.54,15016706.0,3178.0201690037748,17.680932287198836,16.52467387265896,90,16.500193839897204,1.408975541974966,1,1
2024-02-01,55232361.39,15016706.0,3678.0610468101327,17.827059596531004,16.52467387265896,91,17.98091399065651,1.408975541974966,2,1
