Year_Month,Card_type,Travel_Mode,Trip
Dec-2016,Sgl Trip LR Child/Youth,Light Rail,787.0
Dec-2016,Adult,Train,21532401.0
Dec-2016,Child/Youth,Train,1353758.0
Dec-2016,Concession,Train,1361789.0
Dec-2016,Employee,Train,285847.0
Dec-2016,Free Travel,Train,29099.0
Dec-2016,School Student,Train,404194.0
Dec-2016,Senior/Pensioner,Train,2773808.0
Dec-2016,Sgl Trip Rail Adult,Train,362922.0
Dec-2016,Sgl Trip Rail Child/Youth,Train,85766.0
Jan-2017,Adult,Bus,12658936.0
Jan-2017,Adult Single Bus Trip 1,Bus,182210.0
Jan-2017,Adult Single Bus Trip 2,Bus,116130.0
Jan-2017,Adult Single Bus Trip 3,Bus,46161.0
Jan-2017,Child/Youth,Bus,1405219.0
Jan-2017,Child/Youth Single Bus Trip 1,Bus,66323.0
Jan-2017,Child/Youth Single Bus Trip 2,Bus,53334.0
Jan-2017,Child/Youth Single Bus Trip 3,Bus,18050.0
Jan-2017,Concession,Bus,985862.0
Jan-2017,Employee,Bus,66458.0
Jan-2017,Free Travel,Bus,31281.0
Jan-2017,School Student,Bus,168257.0
Jan-2017,Senior/Pensioner,Bus,3752674.0
Jan-2017,Adult,Ferry,1164945.0
Jan-2017,Child/Youth,Ferry,217918.0
Jan-2017,Concession,Ferry,28552.0
Jan-2017,Employee,Ferry,5959.0
Jan-2017,Free Travel,Ferry,2234.0
Jan-2017,School Student,Ferry,139.0
Jan-2017,Senior/Pensioner,Ferry,220534.0
Jan-2017,Sgl Trip Ferry Adult,Ferry,76631.0
Jan-2017,Sgl Trip Ferry Child/Youth,Ferry,21171.0
Jan-2017,Adult,Light Rail,313530.0
Jan-2017,Child/Youth,Light Rail,33524.0
Jan-2017,Concession,Light Rail,14678.0
Jan-2017,Free Travel,Light Rail,394.0
Jan-2017,School Student,Light Rail,323.0
Jan-2017,Senior/Pensioner,Light Rail,63828.0
Jan-2017,Sgl Trip LR Adult,Light Rail,1986.0
Jan-2017,Sgl Trip LR Child/Youth,Light Rail,735.0
Jan-2017,Adult,Train,20689527.0
Jan-2017,Child/Youth,Train,1485300.0
Jan-2017,Concession,Train,1255327.0
Jan-2017,Employee,Train,259349.0
Jan-2017,Free Travel,Train,26745.0
Jan-2017,School Student,Train,67891.0
Jan-2017,Senior/Pensioner,Train,2566223.0
Jan-2017,Sgl Trip Rail Adult,Train,299852.0
Jan-2017,Sgl Trip Rail Child/Youth,Train,85208.0
Feb-2017,Adult,Bus,13182869.0
Feb-2017,Adult Single Bus Trip 1,Bus,167293.0
Feb-2017,Adult Single Bus Trip 2,Bus,104008.0
Feb-2017,Adult Single Bus Trip 3,Bus,39559.0
Feb-2017,Child/Youth,Bus,1166175.0
Feb-2017,Child/Youth Single Bus Trip 1,Bus,39460.0
