Date,Log_Total_Trips,Log_Population,Time_Index,Population_YoY_Growth,COVID_Flag,Month
2020-11-01,17.37684605891007,16.474971454723367,52,1.2835291273938454,1,11
2020-12-01,17.300337100588617,16.474971454723367,53,1.2835291273938454,1,12
2021-01-01,17.144905625348294,16.48530893105903,54,1.0391092637310972,1,1
2021-02-01,17.4046761352175,16.48530893105903,55,1.0391092637310972,1,2
2021-03-01,17.551530912197162,16.48530893105903,56,1.0391092637310972,1,3
2021-04-01,17.518099333422306,16.48530893105903,57,1.0391092637310972,1,4
2021-05-01,17.55215188583346,16.48530893105903,58,1.0391092637310972,1,5
2021-06-01,17.354552363578232,16.48530893105903,59,1.0391092637310972,1,6
2021-07-01,16.222095240976806,16.48530893105903,60,1.0391092637310972,1,7
2021-08-01,16.02233204837342,16.48530893105903,61,1.0391092637310972,1,8
2021-09-01,16.108017738967025,16.48530893105903,62,1.0391092637310972,1,9
2021-10-01,16.781616627505272,16.48530893105903,63,1.0391092637310972,1,10
2021-11-01,17.199046660007955,16.48530893105903,64,1.0391092637310972,1,11
2021-12-01,17.14839758517173,16.48530893105903,65,1.0391092637310972,1,12
2022-01-01,16.841409895333168,16.49711328761159,66,1.1874302922382007,0,1
2022-02-01,17.13043218291094,16.49711328761159,67,1.1874302922382007,0,2
2022-03-01,17.357433272864014,16.49711328761159,68,1.1874302922382007,0,3
2022-04-01,17.357677355610377,16.49711328761159,69,1.1874302922382007,0,4
2022-05-01,17.500171752718767,16.49711328761159,70,1.1874302922382007,0,5
2022-06-01,17.514000285118275,16.49711328761159,71,1.1874302922382007,0,6
2022-07-01,17.390065971569534,16.49711328761159,72,1.1874302922382007,0,7
2022-08-01,17.497537008799817,16.49711328761159,73,1.1874302922382007,0,8
2022-09-01,17.486738155715155,16.49711328761159,74,1.1874302922382007,0,9
2022-10-01,17.555202938607593,16.49711328761159,75,1.1874302922382007,0,10
2022-11-01,17.51644048756815,16.49711328761159,76,1.1874302922382007,0,11
2022-12-01,17.57051222382804,16.49711328761159,77,1.1874302922382007,0,12
2023-01-01,17.528209536320777,16.510682455214244,78,1.3661646571500041,0,1
2023-02-01,17.661706916977593,16.510682455214244,79,1.3661646571500041,0,2
2023-03-01,17.799084961723068,16.510682455214244,80,1.3661646571500041,0,3
2023-04-01,17.590003489544753,16.510682455214244,81,1.3661646571500041,0,4
2023-05-01,17.7681816035835,16.510682455214244,82,1.3661646571500041,0,5
2023-06-01,17.725397142870438,16.510682455214244,83,1.3661646571500041,0,6
2023-07-01,17.706677846992505,16.510682455214244,84,1.3661646571500041,0,7
2023-08-01,17.814919391932982,16.510682455214244,85,1.3661646571500041,0,8
2023-09-01,17.767086951972324,16.510682455214244,86,1.3661646571500041,0,9
2023-10-01,17.797902666105262,16.510682455214244,87,1.3661646571500041,0,10
2023-11-01,17.80300262170513,16.510682455214244,88,1.3661646571500041,0,11
2023-12-01,17.703459473977144,16.510682455214244,89,1.3661646571500041,0,12
2024-01-01,17.680932287198836,16.52467387265896,90,1.408975541974966,0,1
2024-02-01,17.827059596531004,16.52467387265896,91,1.408975541974966,0,2
2024-03-01,17.875568372263178,16.52467387265896,92,1.408975541974966,0,3
2024-04-01,17.765586845748086,16.52467387265896,93,1.408975541974966,0,4
2024-05-01,17.852784864578023,16.52467387265896,94,1.408975541974966,0,5
